School,FullSchoolName,Titles,Years
UCLA,University of California Los Angeles,11,"1964, 1965, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1975, 1995"
Kentucky,University of Kentucky,8,"1948, 1949, 1951, 1958, 1978, 1996, 1998, 2012"
North Carolina,University of North Carolina Chapel Hill,6,"1957, 1982, 1993, 2005, 2009, 2017"
Duke,Duke University,5,"1991, 1992, 2001, 2010, 2015"
Indiana,University of Indiana Bloomington,5,"1940, 1953, 1976, 1981, 1987"
UConn,University of Connecticut,4,"1999, 2004, 2011, 2014"
Kansas,Kansas University,3,"1952, 1988, 2008"
Villanova,Villanova University,3,"1985, 2016, 2018"
Cincinnati,University of Cincinatti,2,"1961, 1962"
Florida,University of Florida,2,"2006, 2007"
Lousville,University of Louisville,2,"1980, 1986"
Michigan State,Michigan State University,2,"1979, 2000"
NC State,North Carolina State University,2,"1974, 1983"
Oklahoma State,Oklahoma State University,2,"1945, 1946"
San Francisco,University of San Francisco,2,"1955, 1956"
Arizona,University of Arizona,1,1997
Arkansas,University of Arkansas,1,1994
California,University of California Berkeley,1,1959
CCNY,City College of New York,1,1950
Georgetown,Georgetown University,1,1984
Holy Cross,College of the Holy Cross,1,1947
La Salle,La Salle University,1,1954
Loyola-Chicago,Loyola University Chicago,1,1963
Marquette,Marquette University,1,1977
Maryland,University of Marland ,1,2002
Michigan,University of Michigan,1,1989
Ohio State,Ohio State University,1,1960
Oregon,University of Oregon,1,1939
UNLV,University of Nevada Las Vegas,1,1990
Stanford,Stanford University,1,1942
Syracuse,Syracuse University,1,2003
UTEP,University of Texas El Paso,1,1966
Utah,University of Utah,1,1944
Virginia,University of Virginia,1,2019
Wisconsin,University of Wisconsin Madison,1,1941
Wyoming,University of Wyoming,1,1943
